variant,evaluated_users,precision_at_k,recall_at_k,hit_rate_at_k,ndcg_at_k,map_at_k,mrr_at_k,catalog_coverage,distinct_genres_per_item_at_k
POPULARITY,1000,0.036100,0.032492,0.240000,0.043800,0.019458,0.090187,0.000502,0.993600
CONTENT_BASED,1000,0.005700,0.003859,0.046000,0.006108,0.002045,0.014679,0.011338,0.638100
ALS_ONLY,1000,0.096300,0.092537,0.485000,0.120171,0.060081,0.224340,0.013210,1.077172
ALS_HYBRID_RANKING,1000,0.098200,0.100811,0.507000,0.124479,0.061648,0.232848,0.013438,0.972800
ALS_HYBRID_RANKING_RERANK,1000,0.094900,0.095830,0.497000,0.121325,0.059960,0.231719,0.013518,0.990700
SEMANTIC_CONTENT,1000,0.018800,0.020864,0.146000,0.025434,0.010789,0.061001,0.024776,1.023600
ALS_SEMANTIC_HYBRID_RANKING,1000,0.096000,0.099462,0.503000,0.124518,0.062258,0.239043,0.015003,0.991600
ALS_SEMANTIC_HYBRID_RANKING_RERANK,1000,0.091500,0.094710,0.488000,0.120277,0.059708,0.236656,0.015345,1.009600
